time,light
2025-11-21 15:34:52,0
2025-11-21 15:34:53,96.50367664507752
2025-11-21 15:34:54,95.98016759896109
2025-11-21 15:34:55,96.16071472810356
2025-11-21 15:34:56,96.16071472810356
2025-11-21 15:34:57,95.6379391416036
2025-11-21 15:34:58,95.6379391416036
2025-11-21 15:34:59,95.98016759896109
2025-11-21 15:35:00,95.98016759896109
2025-11-21 15:35:01,94.06833763166439
2025-11-21 15:35:02,94.77088232071968
2025-11-21 15:35:03,97.02697424321622
2025-11-21 15:35:04,97.02697424321622
2025-11-21 15:35:05,96.68328134486903
2025-11-21 15:35:06,96.16071472810356
2025-11-21 15:35:07,96.16071472810356
2025-11-21 15:35:08,96.16071472810356
2025-11-21 15:35:09,96.16071472810356
2025-11-21 15:35:10,96.16071472810356
2025-11-21 15:35:11,96.16071472810356
2025-11-21 15:35:12,95.6379391416036
2025-11-21 15:35:13,96.68328134486903
2025-11-21 15:35:14,96.50367664507752
2025-11-21 15:35:15,89.90123825557271
2025-11-21 15:35:16,69.73126843520599
2025-11-21 15:35:17,95.29312503055561
