time,temp
2025-11-21 17:43:07,21.1912109375
2025-11-21 17:43:09,21.1861328125
2025-11-21 17:43:10,21.2013671875
2025-11-21 17:43:11,21.21640625
2025-11-21 17:43:12,21.1810546875
2025-11-21 17:43:13,21.2013671875
2025-11-21 17:43:14,21.1912109375
2025-11-21 17:43:15,21.1962890625
2025-11-21 17:43:16,21.2013671875
2025-11-21 17:43:17,21.2013671875
2025-11-21 17:43:19,21.2013671875
2025-11-21 17:43:20,21.1861328125
2025-11-21 17:43:21,21.1810546875
2025-11-21 17:43:22,21.1912109375
2025-11-21 17:43:23,21.2013671875
2025-11-21 17:43:24,21.20625
2025-11-21 17:43:25,21.211328125
2025-11-21 17:43:26,21.2013671875
2025-11-21 17:43:28,21.1861328125
2025-11-21 17:43:29,21.1810546875
2025-11-21 17:43:30,21.1912109375
2025-11-21 17:43:31,21.1861328125
2025-11-21 17:43:32,21.176171875
2025-11-21 17:43:33,21.1912109375
2025-11-21 17:43:34,21.2013671875
2025-11-21 17:43:35,21.1912109375
2025-11-21 17:43:37,21.20625
2025-11-21 17:43:38,21.1962890625
2025-11-21 17:43:39,21.2013671875
2025-11-21 17:43:40,21.1962890625
2025-11-21 17:43:41,21.2013671875
2025-11-21 17:43:42,21.20625
2025-11-21 17:43:43,21.1912109375
2025-11-21 17:43:44,21.1861328125
2025-11-21 17:43:46,21.1912109375
2025-11-21 17:43:47,21.1912109375
2025-11-21 17:43:48,21.2013671875
2025-11-21 17:43:49,21.2013671875
2025-11-21 17:43:50,21.1962890625
2025-11-21 17:43:51,21.2013671875
2025-11-21 17:43:52,21.2013671875
2025-11-21 17:43:53,21.2013671875
2025-11-21 17:43:54,21.2013671875
2025-11-21 17:43:56,21.1861328125
2025-11-21 17:43:57,21.20625
2025-11-21 17:43:58,21.1912109375
2025-11-21 17:43:59,21.1912109375
2025-11-21 17:44:00,21.2013671875
2025-11-21 17:44:01,21.1912109375
2025-11-21 17:44:02,21.1861328125
2025-11-21 17:44:03,21.1912109375
2025-11-21 17:44:05,21.1912109375
2025-11-21 17:44:06,21.2013671875
2025-11-21 17:44:07,21.1962890625
2025-11-21 17:44:08,21.1912109375
2025-11-21 17:44:09,21.1810546875
2025-11-21 17:44:10,21.2013671875
2025-11-21 17:44:11,21.2013671875
2025-11-21 17:44:12,21.1912109375
2025-11-21 17:44:14,21.176171875
2025-11-21 17:44:15,21.1912109375
2025-11-21 17:44:16,21.1810546875
2025-11-21 17:44:17,21.1861328125
2025-11-21 17:44:18,21.176171875
2025-11-21 17:44:19,21.1912109375
2025-11-21 17:44:20,21.1912109375
2025-11-21 17:44:21,21.17109375
2025-11-21 17:44:23,21.1912109375
2025-11-21 17:44:24,21.1810546875
2025-11-21 17:44:25,21.17109375
2025-11-21 17:44:26,21.166015625
2025-11-21 17:44:27,21.166015625
2025-11-21 17:44:28,21.1609375
2025-11-21 17:44:29,21.17109375
2025-11-21 17:44:30,21.1912109375
2025-11-21 17:44:31,21.176171875
2025-11-21 17:44:33,21.17109375
2025-11-21 17:44:34,21.1609375
2025-11-21 17:44:35,21.17109375
2025-11-21 17:44:36,21.17109375
2025-11-21 17:44:37,21.17109375
2025-11-21 17:44:38,21.1810546875
2025-11-21 17:44:39,21.1609375
2025-11-21 17:44:40,21.1810546875
2025-11-21 17:44:42,21.1810546875
2025-11-21 17:44:43,21.176171875
2025-11-21 17:44:44,21.17109375
2025-11-21 17:44:45,21.176171875
2025-11-21 17:44:46,21.17109375
2025-11-21 17:44:47,21.1810546875
2025-11-21 17:44:48,21.17109375
2025-11-21 17:44:49,21.176171875
2025-11-21 17:44:51,21.1912109375
2025-11-21 17:44:52,21.1810546875
2025-11-21 17:44:53,21.2013671875
2025-11-21 17:44:54,21.1962890625
2025-11-21 17:44:55,21.2013671875
2025-11-21 17:44:56,21.1810546875
2025-11-21 17:44:57,21.1861328125
2025-11-21 17:44:59,21.1912109375
